#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.05 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-16.07000,,,
1992.9865,-17.77000,,,
1993.0123,-14.67000,,,
1993.0407,-19.67000,,,
1993.0660,-25.07000,,,
1993.0974,-29.17000,,,
1993.1206,-27.47000,,,
1993.1493,-21.67000,,,
1993.1765,-18.77000,,,
1993.2037,-19.27000,,,
1993.2307,-22.77000,,,
1993.2851,-26.07000,,,
1993.3123,-19.87000,,,
1993.3394,-19.67000,,,
1993.3665,-16.97000,,,
1993.3937,-21.87000,,,
1993.4208,-26.57000,,,
1993.4480,-23.57000,,,
1993.4751,-18.77000,,,
1993.5021,-15.47000,,,
1993.5294,-16.07000,,,
1993.5837,-22.87000,,,
1993.6117,-18.67000,,,
1993.6381,-13.27000,,,
1993.6652,-8.17000,,,
1993.6923,-8.87000,,,
1993.7189,-13.97000,,,
1993.7466,-13.37000,,,
1993.7738,-7.87000,,,
1993.8009,-8.17000,,,
1993.8553,-5.27000,,,
1993.8824,-11.87000,,,
1993.9098,-13.47000,,,
1993.9367,-12.27000,,,
1993.9639,-5.97000,,,
1993.9907,-5.37000,,,
1994.0181,-15.27000,,,
1994.0452,-16.27000,,,
1994.0723,-18.67000,,,
1994.0995,-20.97000,,,
1994.1267,-19.87000,,,
1994.1539,-13.87000,,,
1994.1809,-13.37000,,,
1994.2353,-18.47000,,,
1994.2624,-16.27000,,,
1994.2896,-14.17000,,,
1994.3168,-11.67000,,,
1994.3439,-15.47000,,,
1994.3710,-20.37000,,,
1994.3982,-23.47000,,,
1994.4253,-20.57000,,,
1994.4524,-14.17000,,,
1994.5067,-20.27000,,,
1994.5339,-18.57000,,,
1994.5610,-20.57000,,,
1994.5882,-15.67000,,,
1994.6154,-11.77000,,,
1994.6425,-7.37000,,,
1994.6697,-8.57000,,,
1994.6968,-9.57000,,,
1994.7239,-10.97000,,,
1994.7510,-8.77000,,,
1994.7782,-6.37000,,,
1994.8054,0.13000,,,
1994.8325,-1.57000,,,
1994.8868,-10.57000,,,
1994.9140,-11.87000,,,
1994.9412,-3.27000,,,
1994.9684,-3.67000,,,
1994.9955,-8.17000,,,
1995.0226,-12.27000,,,
1995.0497,-15.87000,,,
1995.0769,-8.47000,,,
1995.1040,-9.77000,,,
1995.1312,-11.57000,,,
1995.1583,-12.27000,,,
1995.2127,-11.27000,,,
1995.2398,-16.67000,,,
1995.2669,-11.17000,,,
1995.2941,-9.07000,,,
1995.3212,-13.07000,,,
1995.3755,-17.87000,,,
1995.4028,-14.77000,,,
1995.4298,-9.27000,,,
1995.4569,-12.37000,,,
1995.4841,-17.67000,,,
1995.5384,-20.57000,,,
1995.5655,-15.47000,,,
1995.5927,-11.57000,,,
1995.6199,-7.27000,,,
1995.6470,-10.87000,,,
1995.6740,-10.67000,,,
1995.7013,-6.37000,,,
1995.7285,2.03000,,,
1995.7556,0.03000,,,
1995.7827,-0.97000,,,
1995.8371,-5.27000,,,
1995.8643,-4.97000,,,
1995.8899,-1.57000,,,
1995.9456,-1.27000,,,
1995.9728,-3.27000,,,
1995.9998,-10.17000,,,
1996.0270,-13.17000,,,
1996.0533,-11.67000,,,
1996.0814,-7.37000,,,
1996.1084,-4.17000,,,
1996.1631,-11.27000,,,
1996.1899,-14.47000,,,
1996.2171,-11.17000,,,
1996.2442,-6.87000,,,
1996.2714,-10.07000,,,
1996.2985,-14.57000,,,
1996.3257,-14.87000,,,
1996.3529,-12.47000,,,
1996.3800,-9.87000,,,
1996.4071,-7.87000,,,
1996.4342,-10.67000,,,
1996.4886,-15.87000,,,
1996.5157,-13.17000,,,
1996.5429,-7.77000,,,
1996.5700,-2.67000,,,
1996.5972,-4.87000,,,
1996.6244,-9.87000,,,
1996.6515,-9.87000,,,
1996.6786,-10.07000,,,
1996.7053,-2.67000,,,
1996.7335,4.83000,,,
1996.7600,6.33000,,,
1996.8144,12.93000,,,
1996.8415,12.83000,,,
1996.8687,9.03000,,,
1996.8959,1.83000,,,
1996.9230,-1.77000,,,
1996.9501,-5.87000,,,
1996.9770,-13.17000,,,
1997.0044,-10.37000,,,
1997.0316,-5.47000,,,
1997.0587,-6.67000,,,
1997.0858,-7.97000,,,
1997.1402,-12.67000,,,
1997.1673,-10.67000,,,
1997.1944,-9.07000,,,
1997.2216,-6.97000,,,
1997.2487,-8.77000,,,
1997.2759,-12.87000,,,
1997.3030,-15.57000,,,
1997.3302,-11.57000,,,
1997.3573,-6.27000,,,
1997.3844,-8.67000,,,
1997.4116,-8.57000,,,
1997.4659,-15.27000,,,
1997.4928,-9.77000,,,
1997.5202,-6.17000,,,
1997.5474,0.13000,,,
1997.5745,-4.37000,,,
1997.6288,-4.57000,,,
1997.6560,-0.37000,,,
1997.6830,4.43000,,,
1997.7103,9.03000,,,
1997.7374,6.43000,,,
1997.7917,4.33000,,,
1997.8189,6.63000,,,
1997.8460,10.83000,,,
1997.8731,4.83000,,,
1997.9001,-0.67000,,,
1997.9274,-4.47000,,,
1997.9546,-7.97000,,,
1997.9817,-2.97000,,,
1998.0083,-1.67000,,,
1998.0360,-0.97000,,,
1998.0903,-8.27000,,,
1998.1174,-8.57000,,,
1998.1446,-6.17000,,,
1998.1717,-4.07000,,,
1998.1989,-3.77000,,,
1998.2261,-7.07000,,,
1998.2532,-10.97000,,,
1998.2792,-9.27000,,,
1998.3075,-4.67000,,,
1998.3347,-3.57000,,,
1998.3617,-7.07000,,,
1998.4158,-16.07000,,,
1998.4432,-13.87000,,,
1998.4704,-10.17000,,,
1998.4976,-3.47000,,,
1998.5247,-4.57000,,,
1998.5518,-9.37000,,,
1998.6062,-7.17000,,,
1998.6333,-4.37000,,,
1998.6604,0.03000,,,
1998.6876,0.53000,,,
1998.7147,-4.97000,,,
1998.7419,-4.47000,,,
1998.7689,-2.37000,,,
1998.8234,6.73000,,,
1998.8505,2.73000,,,
1998.8775,-3.87000,,,
1998.9046,-9.97000,,,
1998.9319,-3.77000,,,
1998.9591,-3.07000,,,
1998.9862,0.33000,,,
1999.0133,-3.97000,,,
1999.0405,-6.67000,,,
1999.0948,-10.97000,,,
1999.1256,3.93000,,,
1999.1491,-1.07000,,,
1999.1763,-6.17000,,,
1999.2034,-11.57000,,,
1999.2306,-10.17000,,,
1999.2577,-7.67000,,,
1999.2848,-5.17000,,,
1999.3392,-8.07000,,,
1999.3663,-13.57000,,,
1999.3933,-16.07000,,,
1999.4206,-10.27000,,,
1999.4478,-11.37000,,,
1999.4749,-7.07000,,,
